,date,0_4,5_11,12_18,19_49,50_64,65+,65_diff,50_64_diff,19_49_diff,12_18_diff,5_11_diff
295,09/22/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
296,09/23/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
297,09/24/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
298,09/25/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
299,09/26/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
300,09/27/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
301,09/28/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
302,09/29/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
303,09/30/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
304,10/01/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
305,10/02/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
306,10/03/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
307,10/04/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
308,10/05/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
309,10/06/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
310,10/07/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
311,10/08/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
312,10/09/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
313,10/10/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
314,10/11/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
315,10/12/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
316,10/13/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
317,10/14/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
318,10/15/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
319,10/16/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
320,10/17/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
321,10/18/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
322,10/19/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
323,10/20/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
324,10/21/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
325,10/22/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
326,10/23/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
327,10/24/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
328,10/25/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
329,10/26/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
330,10/27/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
331,10/28/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
332,10/29/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
333,10/30/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
334,10/31/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
335,11/01/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
336,11/02/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
337,11/03/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
338,11/04/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
339,11/05/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
340,11/06/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
341,11/07/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
342,11/08/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
343,11/09/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
344,11/10/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
345,11/11/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
346,11/12/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
347,11/13/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
348,11/14/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
349,11/15/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
350,11/16/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
351,11/17/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
352,11/18/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
353,11/19/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
354,11/20/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
355,11/21/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
