,date,0_4,5_11,12_18,19_49,50_64,65+,65_diff,50_64_diff,19_49_diff,12_18_diff,5_11_diff
242,07/31/2023,0,0,0,0,0,0,0.0,0,0,0,0
243,08/01/2023,0,0,0,0,0,0,0.0,0,0,0,0
244,08/02/2023,0,0,0,0,0,0,0.0,0,0,0,0
245,08/03/2023,0,0,0,0,0,0,0.0,0,0,0,0
246,08/04/2023,0,0,0,0,0,0,0.0,0,0,0,0
247,08/05/2023,0,0,0,0,0,0,0.0,0,0,0,0
248,08/06/2023,0,0,0,0,0,0,0.0,0,0,0,0
249,08/07/2023,0,0,0,0,0,0,0.0,0,0,0,0
250,08/08/2023,0,0,0,0,0,0,0.0,0,0,0,0
251,08/09/2023,0,0,0,0,0,0,0.0,0,0,0,0
252,08/10/2023,0,0,0,0,0,0,0.0,0,0,0,0
253,08/11/2023,0,0,0,0,0,0,0.0,0,0,0,0
254,08/12/2023,0,0,0,0,0,0,0.0,0,0,0,0
255,08/13/2023,0,0,0,0,0,0,0.0,0,0,0,0
256,08/14/2023,0,0,0,0,0,0,0.0,0,0,0,0
257,08/15/2023,0,0,0,0,0,0,0.0,0,0,0,0
258,08/16/2023,0,0,0,0,0,0,0.0,0,0,0,0
259,08/17/2023,0,0,0,0,0,0,0.0,0,0,0,0
260,08/18/2023,0,0,0,0,0,0,0.0,0,0,0,0
261,08/19/2023,0,0,0,0,0,0,0.0,0,0,0,0
262,08/20/2023,0,0,0,0,0,0,0.0,0,0,0,0
263,08/21/2023,0,0,0,0,0,0,0.0,0,0,0,0
264,08/22/2023,0,0,0,0,0,0,0.0,0,0,0,0
265,08/23/2023,0,0,0,0,0,0,0.0,0,0,0,0
266,08/24/2023,0,0,0,0,0,0,0.0,0,0,0,0
267,08/25/2023,0,0,0,0,0,0,0.0,0,0,0,0
268,08/26/2023,0,0,0,0,0,0,0.0,0,0,0,0
269,08/27/2023,0,0,0,0,0,0,0.0,0,0,0,0
270,08/28/2023,0,0,0,0,0,0,0.0,0,0,0,0
271,08/29/2023,0,0,0,0,0,0,0.0,0,0,0,0
272,08/30/2023,0,0,0,0,0,0,0.0,0,0,0,0
273,08/31/2023,0,0,0,0,0,0.0,0.0,0,0,0,0
274,09/01/2023,0,0,0,0,0,166019.79702970298,166019.79702970298,0,0,0,0
275,09/02/2023,0,0,0,0,0,332039.59405940596,166019.79702970298,0,0,0,0
276,09/03/2023,0,0,0,0,0,498059.3910891089,166019.79702970292,0,0,0,0
277,09/04/2023,0,0,0,0,0,664079.1881188119,166019.79702970304,0,0,0,0
278,09/05/2023,0,0,0,0,0,830098.9851485149,166019.79702970292,0,0,0,0
279,09/06/2023,0,0,0,0,0,996118.7821782178,166019.79702970292,0,0,0,0
280,09/07/2023,0,0,0,0,0,1162138.5792079207,166019.79702970292,0,0,0,0
281,09/08/2023,0,0,0,0,0,1328158.3762376239,166019.79702970316,0,0,0,0
282,09/09/2023,0,0,0,0,0,1494178.1732673268,166019.79702970292,0,0,0,0
283,09/10/2023,0,0,0,0,0,1660197.9702970297,166019.79702970292,0,0,0,0
284,09/11/2023,0,0,0,0,0,1826217.7673267326,166019.79702970292,0,0,0,0
285,09/12/2023,0,0,0,0,0,1992237.5643564356,166019.79702970292,0,0,0,0
286,09/13/2023,0,0,0,0,0,2158257.3613861385,166019.79702970292,0,0,0,0
287,09/14/2023,0,0,0,0,0,2324277.1584158414,166019.79702970292,0,0,0,0
288,09/15/2023,0,0,0,0,0,2490296.9554455443,166019.79702970292,0,0,0,0
289,09/16/2023,0,0,0,0,0,2656316.7524752477,166019.7970297034,0,0,0,0
290,09/17/2023,0,0,0,0,0,2822336.5495049506,166019.79702970292,0,0,0,0
291,09/18/2023,0,0,0,0,0,2988356.3465346536,166019.79702970292,0,0,0,0
292,09/19/2023,0,0,0,0,0,3154376.1435643565,166019.79702970292,0,0,0,0
293,09/20/2023,0,0,0,0,0,3320395.9405940594,166019.79702970292,0,0,0,0
294,09/21/2023,0,0,0,0,0,3486415.7376237623,166019.79702970292,0,0,0,0
295,09/22/2023,0,0,0,0,0,3652435.5346534653,166019.79702970292,0,0,0,0
296,09/23/2023,0,0,0,0,0,3818455.331683168,166019.79702970292,0,0,0,0
297,09/24/2023,0,0,0,0,0,3984475.128712871,166019.79702970292,0,0,0,0
298,09/25/2023,0,0,0,0,0,4150494.925742574,166019.79702970292,0,0,0,0
299,09/26/2023,0,0,0,0,0,4316514.722772277,166019.79702970292,0,0,0,0
300,09/27/2023,0,0,0,0,0,4482534.51980198,166019.79702970292,0,0,0,0
301,09/28/2023,0,0,0,0,0,4648554.316831683,166019.79702970292,0,0,0,0
302,09/29/2023,0,0,0,0,0,4814574.113861386,166019.79702970292,0,0,0,0
303,09/30/2023,0,0,0,0,0,4980593.910891089,166019.79702970292,0,0,0,0
304,10/01/2023,0,0,0,0,0,5146613.7079207925,166019.79702970386,0,0,0,0
305,10/02/2023,0,0,0,0,0,5312633.504950495,166019.79702970292,0,0,0,0
306,10/03/2023,0,0,0,0,0,5478653.301980198,166019.79702970292,0,0,0,0
307,10/04/2023,0,0,0,0,0,5644673.099009901,166019.79702970292,0,0,0,0
308,10/05/2023,0,0,0,0,0,5810692.896039604,166019.79702970292,0,0,0,0
309,10/06/2023,0,0,0,0,0,5976712.693069307,166019.79702970292,0,0,0,0
310,10/07/2023,0,0,0,0,0,6142732.49009901,166019.79702970292,0,0,0,0
311,10/08/2023,0,0,0,0,0,6308752.287128713,166019.79702970292,0,0,0,0
312,10/09/2023,0,0,0,0,0,6474772.084158416,166019.79702970292,0,0,0,0
313,10/10/2023,0,0,0,0,0,6640791.881188119,166019.79702970292,0,0,0,0
314,10/11/2023,0,0,0,0,0,6806811.678217822,166019.79702970292,0,0,0,0
315,10/12/2023,0,0,0,0,0,6972831.475247525,166019.79702970292,0,0,0,0
316,10/13/2023,0,0,0,0,0,7138851.272277228,166019.79702970292,0,0,0,0
317,10/14/2023,0,0,0,0,0,7304871.0693069305,166019.79702970292,0,0,0,0
318,10/15/2023,0,0,0,0,0,7470890.866336633,166019.79702970292,0,0,0,0
319,10/16/2023,0,0,0,0,0,7636910.663366336,166019.79702970292,0,0,0,0
320,10/17/2023,0,0,0,0,0,7802930.460396039,166019.79702970292,0,0,0,0
321,10/18/2023,0,0,0,0,0,7968950.257425742,166019.79702970292,0,0,0,0
322,10/19/2023,0,0,0,0,0,8134970.054455445,166019.79702970292,0,0,0,0
323,10/20/2023,0,0,0,0,0,8300989.851485148,166019.79702970292,0,0,0,0
324,10/21/2023,0,0,0,0,0,8467009.648514852,166019.79702970386,0,0,0,0
325,10/22/2023,0,0,0,0,0,8633029.445544554,166019.797029702,0,0,0,0
326,10/23/2023,0,0,0,0,0,8799049.242574258,166019.79702970386,0,0,0,0
327,10/24/2023,0,0,0,0,0,8965069.03960396,166019.797029702,0,0,0,0
328,10/25/2023,0,0,0,0,0,9131088.836633664,166019.79702970386,0,0,0,0
329,10/26/2023,0,0,0,0,0,9297108.633663366,166019.797029702,0,0,0,0
330,10/27/2023,0,0,0,0,0,9463128.43069307,166019.79702970386,0,0,0,0
331,10/28/2023,0,0,0,0,0,9629148.227722771,166019.797029702,0,0,0,0
332,10/29/2023,0,0,0,0,0,9795168.024752475,166019.79702970386,0,0,0,0
333,10/30/2023,0,0,0,0,0,9961187.821782177,166019.797029702,0,0,0,0
334,10/31/2023,0,0,0,0,0,10127207.618811881,166019.79702970386,0,0,0,0
