date,0_1,2_4,5_11,12_18,19_49,50_64,65+
12/31/23,10000,0,0,0,0,20984.26093,65291.74422
1/1/24,10000,0,0,0,0,20984.26093,65291.74422
1/2/24,10000,0,0,0,0,20984.26093,65291.74422
1/3/24,10000,0,0,0,0,20984.26093,65291.74422
1/4/24,10000,0,0,0,0,20984.26093,65291.74422
1/5/24,10000,0,0,0,0,20984.26093,65291.74422
1/7/24,10000,0,0,0,0,20147.94808,64121.58677
1/8/24,10000,0,0,0,0,20147.94808,64121.58677
1/9/24,10000,0,0,0,0,20147.94808,64121.58677
1/10/24,10000,0,0,0,0,20147.94808,64121.58677
1/11/24,10000,0,0,0,0,20147.94808,64121.58677
1/12/24,10000,0,0,0,0,20147.94808,64121.58677
1/14/24,10000,0,0,0,0,19083.13769,61485.7366
1/15/24,10000,0,0,0,0,19083.13769,61485.7366
1/16/24,10000,0,0,0,0,19083.13769,61485.7366
1/17/24,10000,0,0,0,0,19083.13769,61485.7366
1/18/24,10000,0,0,0,0,19083.13769,61485.7366
1/19/24,10000,0,0,0,0,19083.13769,61485.7366
1/21/24,10000,0,0,0,0,18230.9827,59005.59268
1/22/24,10000,0,0,0,0,18230.9827,59005.59268
1/23/24,10000,0,0,0,0,18230.9827,59005.59268
1/24/24,10000,0,0,0,0,18230.9827,59005.59268
1/25/24,10000,0,0,0,0,18230.9827,59005.59268
1/26/24,10000,0,0,0,0,18230.9827,59005.59268
1/28/24,10000,0,0,0,0,17884.58025,57783.32103
1/29/24,10000,0,0,0,0,17884.58025,57783.32103
1/30/24,10000,0,0,0,0,17884.58025,57783.32103
1/31/24,10000,0,0,0,0,17884.58025,57783.32103
2/1/24,10000,0,0,0,0,17884.58025,57783.32103
2/2/24,10000,0,0,0,0,17884.58025,57783.32103
2/4/24,10000,0,0,0,0,17509.10859,56589.32349
2/5/24,10000,0,0,0,0,17509.10859,56589.32349
2/6/24,10000,0,0,0,0,17509.10859,56589.32349
2/7/24,10000,0,0,0,0,17509.10859,56589.32349
2/8/24,10000,0,0,0,0,17509.10859,56589.32349
2/9/24,10000,0,0,0,0,17509.10859,56589.32349
2/11/24,10000,0,0,0,0,16199.51197,53080.50393
2/12/24,10000,0,0,0,0,16199.51197,53080.50393
2/13/24,10000,0,0,0,0,16199.51197,53080.50393
2/14/24,10000,0,0,0,0,16199.51197,53080.50393
2/15/24,10000,0,0,0,0,16199.51197,53080.50393
2/16/24,10000,0,0,0,0,16199.51197,53080.50393
2/18/24,10000,0,0,0,0,13733.56871,46421.79223
2/19/24,10000,0,0,0,0,13733.56871,46421.79223
2/20/24,10000,0,0,0,0,13733.56871,46421.79223
2/21/24,10000,0,0,0,0,13733.56871,46421.79223
2/22/24,10000,0,0,0,0,13733.56871,46421.79223
2/23/24,10000,0,0,0,0,13733.56871,46421.79223
2/25/24,10000,0,0,0,0,11427.19504,40078.94516
2/26/24,10000,0,0,0,0,11427.19504,40078.94516
2/27/24,10000,0,0,0,0,11427.19504,40078.94516
2/28/24,10000,0,0,0,0,11427.19504,40078.94516
2/29/24,10000,0,0,0,0,11427.19504,40078.94516
3/1/24,10000,0,0,0,0,11427.19504,40078.94516
3/3/24,10000,0,0,0,0,9785.399163,35665.0532
3/4/24,10000,0,0,0,0,9785.399163,35665.0532
3/5/24,10000,0,0,0,0,9785.399163,35665.0532
3/6/24,10000,0,0,0,0,9785.399163,35665.0532
3/7/24,10000,0,0,0,0,9785.399163,35665.0532
3/8/24,10000,0,0,0,0,9785.399163,35665.0532
3/10/24,10000,0,0,0,0,8680.188606,33225.06874
3/11/24,10000,0,0,0,0,8680.188606,33225.06874
3/12/24,10000,0,0,0,0,8680.188606,33225.06874
3/13/24,10000,0,0,0,0,8680.188606,33225.06874
3/14/24,10000,0,0,0,0,8680.188606,33225.06874
3/15/24,10000,0,0,0,0,8680.188606,33225.06874
3/17/24,10000,0,0,0,0,7366.919897,31054.76916
3/18/24,10000,0,0,0,0,7366.919897,31054.76916
3/19/24,10000,0,0,0,0,7366.919897,31054.76916
3/20/24,10000,0,0,0,0,7366.919897,31054.76916
3/21/24,10000,0,0,0,0,7366.919897,31054.76916
3/22/24,10000,0,0,0,0,7366.919897,31054.76916
3/24/24,10000,0,0,0,0,6526.157385,30536.48102
3/25/24,10000,0,0,0,0,6526.157385,30536.48102
3/26/24,10000,0,0,0,0,6526.157385,30536.48102
3/27/24,10000,0,0,0,0,6526.157385,30536.48102
3/28/24,10000,0,0,0,0,6526.157385,30536.48102
3/29/24,10000,0,0,0,0,6526.157385,30536.48102
3/31/24,10000,0,0,0,0,6149.415153,31049.08515
4/1/24,10000,0,0,0,0,6149.415153,31049.08515
4/2/24,10000,0,0,0,0,6149.415153,31049.08515
4/3/24,10000,0,0,0,0,6149.415153,31049.08515
4/4/24,10000,0,0,0,0,6149.415153,31049.08515
4/5/24,10000,0,0,0,0,6149.415153,31049.08515
4/7/24,10000,0,0,0,0,5958.234023,31302.41699
4/8/24,10000,0,0,0,0,5958.234023,31302.41699
4/9/24,10000,0,0,0,0,5958.234023,31302.41699
4/10/24,10000,0,0,0,0,5958.234023,31302.41699
4/11/24,10000,0,0,0,0,5958.234023,31302.41699
4/12/24,10000,0,0,0,0,5958.234023,31302.41699
4/14/24,10000,0,0,0,0,5083.834979,28839.14795
4/15/24,10000,0,0,0,0,5083.834979,28839.14795
4/16/24,10000,0,0,0,0,5083.834979,28839.14795
4/17/24,10000,0,0,0,0,5083.834979,28839.14795
4/18/24,10000,0,0,0,0,5083.834979,28839.14795
4/19/24,10000,0,0,0,0,5083.834979,28839.14795
4/21/24,10000,0,0,0,0,4139.728658,25384.78064
4/22/24,10000,0,0,0,0,4139.728658,25384.78064
4/23/24,10000,0,0,0,0,4139.728658,25384.78064
4/24/24,10000,0,0,0,0,4139.728658,25384.78064
4/25/24,10000,0,0,0,0,4139.728658,25384.78064
4/26/24,10000,0,0,0,0,4139.728658,25384.78064
